Starting job 10823430 ("10822947.58") on c2-28 at Fri Apr 24 11:26:41 CEST 2015
Param_ID_58
running build_ext
cythoning Yeast_Simulator.pyx to Yeast_Simulator.c
building 'Yeast_Simulator' extension
creating build
creating build/temp.linux-x86_64-2.7
gcc -DNDEBUG -g -O3 -Wall -Wstrict-prototypes -O3 -fPIC -I/cluster/software/VERSIONS/python_packages-2.7_3/cluster/software/VERSIONS/python2-2.7.9/lib/python2.7/site-packages/numpy/core/include -I/cluster/software/VERSIONS/python2-2.7.9/include/python2.7 -c Yeast_Simulator.c -o build/temp.linux-x86_64-2.7/Yeast_Simulator.o
icc -shared -L/cluster/software/VERSIONS/intel-2015.1/compiler/lib/intel64 -L/cluster/software/VERSIONS/libffi-3.0.13/lib -L/usr/lib/x86_64-linux-gnu -ipo -O3 build/temp.linux-x86_64-2.7/Yeast_Simulator.o -L/cluster/software/VERSIONS/python2-2.7.9/lib -lpython2.7 -o /work/jobs/10823430.d/Yeast_Simulator.so
running build_ext
cythoning Yeast_Simulator_Cell_Division.pyx to Yeast_Simulator_Cell_Division.c
building 'Yeast_Simulator_Cell_Division' extension
gcc -DNDEBUG -g -O3 -Wall -Wstrict-prototypes -O3 -fPIC -I/cluster/software/VERSIONS/python_packages-2.7_3/cluster/software/VERSIONS/python2-2.7.9/lib/python2.7/site-packages/numpy/core/include -I/cluster/software/VERSIONS/python2-2.7.9/include/python2.7 -c Yeast_Simulator_Cell_Division.c -o build/temp.linux-x86_64-2.7/Yeast_Simulator_Cell_Division.o
icc -shared -L/cluster/software/VERSIONS/intel-2015.1/compiler/lib/intel64 -L/cluster/software/VERSIONS/libffi-3.0.13/lib -L/usr/lib/x86_64-linux-gnu -ipo -O3 build/temp.linux-x86_64-2.7/Yeast_Simulator_Cell_Division.o -L/cluster/software/VERSIONS/python2-2.7.9/lib -lpython2.7 -o /work/jobs/10823430.d/Yeast_Simulator_Cell_Division.so
running build_ext
cythoning Yeast_Simulator_Subprograms.pyx to Yeast_Simulator_Subprograms.c
building 'Yeast_Simulator_Subprograms' extension
gcc -DNDEBUG -g -O3 -Wall -Wstrict-prototypes -O3 -fPIC -I/cluster/software/VERSIONS/python_packages-2.7_3/cluster/software/VERSIONS/python2-2.7.9/lib/python2.7/site-packages/numpy/core/include -I/cluster/software/VERSIONS/python2-2.7.9/include/python2.7 -c Yeast_Simulator_Subprograms.c -o build/temp.linux-x86_64-2.7/Yeast_Simulator_Subprograms.o
icc -shared -L/cluster/software/VERSIONS/intel-2015.1/compiler/lib/intel64 -L/cluster/software/VERSIONS/libffi-3.0.13/lib -L/usr/lib/x86_64-linux-gnu -ipo -O3 build/temp.linux-x86_64-2.7/Yeast_Simulator_Subprograms.o -L/cluster/software/VERSIONS/python2-2.7.9/lib -lpython2.7 -o /work/jobs/10823430.d/Yeast_Simulator_Subprograms.so
running build_ext
cythoning Yeast_Simulator_Mutations.pyx to Yeast_Simulator_Mutations.c
building 'Yeast_Simulator_Mutations' extension
gcc -DNDEBUG -g -O3 -Wall -Wstrict-prototypes -O3 -fPIC -I/cluster/software/VERSIONS/python_packages-2.7_3/cluster/software/VERSIONS/python2-2.7.9/lib/python2.7/site-packages/numpy/core/include -I/cluster/software/VERSIONS/python2-2.7.9/include/python2.7 -c Yeast_Simulator_Mutations.c -o build/temp.linux-x86_64-2.7/Yeast_Simulator_Mutations.o
icc -shared -L/cluster/software/VERSIONS/intel-2015.1/compiler/lib/intel64 -L/cluster/software/VERSIONS/libffi-3.0.13/lib -L/usr/lib/x86_64-linux-gnu -ipo -O3 build/temp.linux-x86_64-2.7/Yeast_Simulator_Mutations.o -L/cluster/software/VERSIONS/python2-2.7.9/lib -lpython2.7 -o /work/jobs/10823430.d/Yeast_Simulator_Mutations.so
running build_ext
cythoning Yeast_Simulator_Gene_Duplications.pyx to Yeast_Simulator_Gene_Duplications.c
building 'Yeast_Simulator_Gene_Duplications' extension
gcc -DNDEBUG -g -O3 -Wall -Wstrict-prototypes -O3 -fPIC -I/cluster/software/VERSIONS/python_packages-2.7_3/cluster/software/VERSIONS/python2-2.7.9/lib/python2.7/site-packages/numpy/core/include -I/cluster/software/VERSIONS/python2-2.7.9/include/python2.7 -c Yeast_Simulator_Gene_Duplications.c -o build/temp.linux-x86_64-2.7/Yeast_Simulator_Gene_Duplications.o
icc -shared -L/cluster/software/VERSIONS/intel-2015.1/compiler/lib/intel64 -L/cluster/software/VERSIONS/libffi-3.0.13/lib -L/usr/lib/x86_64-linux-gnu -ipo -O3 build/temp.linux-x86_64-2.7/Yeast_Simulator_Gene_Duplications.o -L/cluster/software/VERSIONS/python2-2.7.9/lib -lpython2.7 -o /work/jobs/10823430.d/Yeast_Simulator_Gene_Duplications.so
Param: 58 	0.0117 	2.0 	27.5 	39.0 	17.0
0 	805 	Lag
0 	163 	Rate
1 	805.0 	Lag
1 	163.005641562 	Rate
2 	805.0 	Lag
2 	162.9925875 	Rate
3 	805.0 	Lag
3 	162.96916375 	Rate
4 	805.0 	Lag
4 	162.923539688 	Rate
5 	805.0 	Lag
5 	162.842250312 	Rate
6 	805.0 	Lag
6 	162.719839688 	Rate
7 	805.0 	Lag
7 	162.424277813 	Rate
8 	805.0 	Lag
8 	161.818539063 	Rate
9 	805.0 	Lag
9 	160.89529125 	Rate
10 	805.0 	Lag
10 	158.2571475 	Rate
11 	805.0 	Lag
11 	152.6695825 	Rate
12 	805.0 	Lag
12 	147.554132813 	Rate
13 	805.0 	Lag
13 	139.266928438 	Rate
14 	805.0 	Lag
14 	135.28505625 	Rate
15 	805.0 	Lag
15 	134.044031563 	Rate
16 	805.0 	Lag
16 	131.645505937 	Rate
17 	805.0 	Lag
17 	129.878479062 	Rate
18 	805.0 	Lag
18 	128.838959375 	Rate
19 	805.0 	Lag
19 	128.210061875 	Rate
20 	805.0 	Lag
20 	128.005203438 	Rate
21 	805.0 	Lag
21 	127.88707875 	Rate
22 	805.0 	Lag
22 	127.834468125 	Rate
23 	805.0 	Lag
23 	127.718548125 	Rate
24 	805.0 	Lag
24 	127.639850938 	Rate
25 	805.0 	Lag
25 	127.559650625 	Rate
26 	805.0 	Lag
26 	127.510612812 	Rate
27 	805.0 	Lag
27 	127.354769375 	Rate
28 	805.0 	Lag
28 	127.332859063 	Rate
29 	805.0 	Lag
29 	127.308560625 	Rate
30 	805.0 	Lag
30 	127.277744063 	Rate
31 	805.0 	Lag
31 	127.236738125 	Rate
32 	805.0 	Lag
32 	127.233975 	Rate
33 	805.0 	Lag
33 	127.170325625 	Rate
34 	805.0 	Lag
34 	127.155464375 	Rate
35 	805.0 	Lag
35 	127.14252 	Rate
36 	805.0 	Lag
36 	127.129018125 	Rate
37 	805.0 	Lag
37 	127.1190775 	Rate
38 	805.0 	Lag
38 	127.101820312 	Rate
39 	805.0 	Lag
39 	127.09758875 	Rate
40 	805.0 	Lag
40 	127.062089375 	Rate
41 	805.0 	Lag
41 	127.060874688 	Rate
42 	805.0 	Lag
42 	127.043903125 	Rate
43 	805.0 	Lag
43 	127.035689687 	Rate
44 	805.0 	Lag
44 	127.032447187 	Rate
45 	805.0 	Lag
45 	127.030632188 	Rate
46 	805.0 	Lag
46 	127.012904062 	Rate
47 	805.0 	Lag
47 	127.007872187 	Rate
48 	805.0 	Lag
48 	127.002898437 	Rate
49 	805.0 	Lag
49 	127.004636562 	Rate
50 	805.0 	Lag
50 	126.9955625 	Rate

Currently Loaded Modulefiles:
  1) intel/2015.1    2) libffi/3.0.13   3) python2/2.7.9

Job script resource usage:
       JobID  MaxVMSize     MaxRSS 
------------ ---------- ---------- 
10823430.ba+   8966724K   8445804K 

Job step resource usage:
       JobID    JobName  AllocCPUS  MaxVMSize     MaxRSS    Elapsed ExitCode 
------------ ---------- ---------- ---------- ---------- ---------- -------- 
10823430     10822947.+          1                         00:42:01      0:0 

Job 10823430 ("10822947.58") completed on c2-28 at Fri Apr 24 12:08:40 CEST 2015
